DATE,Min Temp,Max Temp,Total Precipitation,Avg Soil Moisture,Daytime Avg ET,Daytime Avg VPD,Daytime STDEV VPD,Daytime Max RH,Daytime STDEV RH,Description,Tower
2023-10-07,40.88,59.24,0,0.38,1.69,0.73,0.33,92.75,17.54,Sunny,fluxtower1
2023-10-06,45.35,64.45,0,0.4,2.9,0.71,0.38,87.93,15.49,Sunny,fluxtower1
2023-10-05,61.11,73.54,0.36,0.38,1.99,0.11,0.04,97.4,1.77,Rain,fluxtower1
2023-10-04,64.97,84.56,0,0.37,1.28,1.79,0.61,75.93,11.57,Sunny,fluxtower1
2023-10-03,54.08,87.43,0,0.37,1.61,2.1,0.85,89.77,15.36,Sunny,fluxtower1
2023-10-02,54.35,86.18,0,0.37,1.52,1.96,0.81,91.65,15.92,Sunny,fluxtower1
2023-10-01,53.89,86,0,0.37,1.42,1.84,0.8,94.88,16.58,Sunny,fluxtower1
2023-09-30,51.85,84.49,0,0.37,1.75,1.66,0.87,99.09,19.91,Sunny,fluxtower1
2023-09-29,51.45,78.93,0,0.37,1.57,1.05,0.64,99.25,18.48,Sunny,fluxtower1
2023-09-28,58.99,71.63,0,0.37,0.94,0.6,0.31,97.21,11.45,Sunny,fluxtower1
2023-09-27,59.77,72.61,0.06,0.37,1.59,0.47,0.27,96.97,9.66,Rain,fluxtower1
2023-09-26,60.02,76.49,0.07,0.36,1.69,0.72,0.35,90.91,9.58,Rain,fluxtower1
2023-09-25,54.17,76.88,0.06,0.35,1.18,0.96,0.4,90.88,11.28,Rain,fluxtower1
2023-09-24,49.25,80.47,0,0.35,1.43,1.55,0.62,88.71,14.07,Sunny,fluxtower1
2023-09-23,54.77,80.96,0,0.35,1.77,1.79,0.72,87.25,16.34,Sunny,fluxtower1
2023-09-22,60.9,82.05,0,0.35,1.9,1.57,0.64,87.26,14.12,Sunny,fluxtower1
2023-09-21,60.63,74.02,0.03,0.35,1.44,0.45,0.23,91.53,7.36,Rain,fluxtower1
2023-09-20,52.2,81.5,0,0.35,2.16,1.54,0.57,80.81,11.57,Sunny,fluxtower1
2023-09-19,47.78,79.02,0,0.34,2.94,1.46,0.68,90.97,17.06,Sunny,fluxtower1
2023-09-18,47.26,72.41,0,0.35,2.88,0.93,0.49,99.21,17.52,Sunny,fluxtower1
2023-09-17,56.38,68.18,0.08,0.35,1.74,0.37,0.22,96.49,9.27,Rain,fluxtower1
2023-09-16,48.76,76.28,0,0.35,1.98,1.07,0.54,93.37,15.21,Sunny,fluxtower1
2023-09-15,47.32,77.57,0,0.35,2.51,1.41,0.59,89.76,15.34,Sunny,fluxtower1
2023-09-14,44.22,73.14,0,0.35,2.32,1.22,0.54,94.54,17.65,Sunny,fluxtower1
2023-09-13,43.94,73.29,0,0.36,2.75,1,0.52,99.23,17.64,Sunny,fluxtower1
2023-09-12,59.35,71.08,0.03,0.36,3.36,0.78,0.36,93.92,13.03,Rain,fluxtower1
2023-09-11,55.03,78.63,0,0.36,2.91,0.88,0.52,95.25,14.86,Sunny,fluxtower1
2023-09-10,48.59,77.1,0,0.37,3.5,1.14,0.64,98.97,18.84,Sunny,fluxtower1
2023-09-09,55.61,73.94,0,0.37,2.53,0.74,0.31,89.36,9.07,Sunny,fluxtower1
2023-09-08,62.65,69.68,0.03,0.38,2.07,0.35,0.16,93.53,6.42,Rain,fluxtower1
2023-09-07,64.29,70.5,0.06,0.36,1.5,0.21,0.11,96.96,4.31,Rain,fluxtower1
2023-09-06,68.36,81.23,0.19,0.36,4.76,0.84,0.49,95.96,13.53,Rain,fluxtower1
2023-09-05,68.75,88.76,0,0.36,4.74,1.53,0.62,88.58,11.38,Sunny,fluxtower1
2023-09-04,65.06,88.32,0,0.36,4.19,1.18,0.57,94.55,11.44,Sunny,fluxtower1
2023-09-03,64.17,88.23,0,0.36,4.9,1.28,0.68,98.97,14.22,Sunny,fluxtower1
2023-09-02,51.9,85.42,0,0.36,4.8,1.29,0.58,98.33,12.5,Sunny,fluxtower1
2023-09-01,51.97,80.48,0,0.36,3.51,1.25,0.51,90.72,12.24,Sunny,fluxtower1
2023-08-31,48.95,74.59,0,0.37,2.96,1.11,0.52,92.81,15.76,Sunny,fluxtower1
2023-08-30,53.57,71.34,0,0.38,3.53,0.83,0.31,94.19,10.54,Sunny,fluxtower1
2023-08-29,50.63,81.55,0.01,0.38,5.29,0.97,0.55,96.05,14.6,Rain,fluxtower1
2023-08-28,53.12,76.33,0,0.39,3.72,1.1,0.47,92.98,13.23,Sunny,fluxtower1
2023-08-27,64.23,76.88,0,0.4,3.13,0.84,0.39,89.6,11.17,Sunny,fluxtower1
2023-08-26,67.88,78.7,0,0.41,3.26,0.7,0.2,94.64,5.35,Sunny,fluxtower1
2023-08-25,72.76,86.1,0,0.42,4.12,0.89,0.36,92.7,7.69,Sunny,fluxtower1
2023-08-24,73.58,93.38,0,0.42,8.52,1.15,0.52,98.84,9.15,Sunny,fluxtower1
2023-08-23,70.29,91.66,0,0.43,7.22,0.88,0.43,93.28,7.26,Sunny,fluxtower1
2023-08-22,69.12,86,0,0.43,4.04,0.83,0.32,95.02,6.52,Sunny,fluxtower1
2023-08-21,81.22,87.15,0,0.44,4.4,0.97,0.25,85.39,4.82,Sunny,fluxtower1
2023-08-18,51.2,67.01,0,0.45,4.34,0.34,0.2,92.69,8.16,Sunny,fluxtower1
2023-08-17,58.44,77.89,0.05,0.46,5.43,0.8,0.42,90.24,11.78,Rain,fluxtower1
2023-08-16,50.59,77.31,0,0.47,7.72,1.04,0.46,99,13.65,Sunny,fluxtower1
2023-08-15,60.63,72.95,0,0.48,3.51,0.56,0.22,88.73,7.16,Sunny,fluxtower1
2023-08-14,67.27,76.85,0.01,0.48,2.89,0.4,0.25,95.04,7.86,Rain,fluxtower1
2023-08-13,58.99,83.11,0,0.49,6.31,0.94,0.45,91.49,10.53,Sunny,fluxtower1
2023-08-12,67.92,83.53,0.14,0.49,7.76,0.94,0.42,94.49,10.53,Rain,fluxtower1
2023-08-11,62.65,83.14,0.01,0.49,5.61,0.73,0.47,94.59,11.44,Rain,fluxtower1
2023-08-10,65.23,79.87,0,0.49,8.26,0.84,0.4,95.41,10.3,Sunny,fluxtower1
2023-08-09,58.76,77.7,0.32,0.48,3.21,0.42,0.31,98.86,9.81,Rain,fluxtower1
2023-08-08,57.4,80.06,0,0.49,7.77,0.84,0.38,98.93,10.53,Sunny,fluxtower1
2023-08-07,64.93,75.24,0.13,0.5,4.66,0.55,0.28,96.35,8.89,Rain,fluxtower1
2023-08-06,63.7,75.39,0,0.49,3.15,0.46,0.25,96.9,8.08,Sunny,fluxtower1
2023-08-05,67.18,79.25,1.22,0.41,1.85,0.25,0.1,96.88,3.6,Rain,fluxtower1
2023-08-04,79.38,84.87,0,0.38,5.92,1.46,0.23,76.46,4.52,Sunny,fluxtower1
2023-08-03,62.57,77.78,0,0.4,4.05,0.8,0.24,86.74,6.46,Sunny,fluxtower1
2023-08-02,59.21,79.07,0,0.4,6.17,1,0.31,85.39,7.38,Sunny,fluxtower1
2023-08-01,56.01,79.54,0,0.41,6.58,1.26,0.39,86.29,9.64,Sunny,fluxtower1
2023-07-31,57.58,78.13,0,0.42,5.4,1.24,0.29,78.34,7.22,Sunny,fluxtower1
2023-07-30,58.26,80.94,0,0.43,8.88,1.16,0.35,88.43,8.09,Sunny,fluxtower1
2023-07-29,68.5,84.46,0.32,0.43,5.95,0.79,0.27,91.67,6.6,Rain,fluxtower1
2023-07-28,72.57,89.99,0.09,0.4,8.69,0.98,0.43,93.21,7.71,Rain,fluxtower1
2023-07-27,68.22,91.38,0,0.41,5.16,1.15,0.49,96.32,9.01,Sunny,fluxtower1
2023-07-26,68.82,87.5,0,0.41,6.18,1.14,0.32,88.51,6.04,Sunny,fluxtower1
2023-07-25,60.18,85.43,0,0.41,6.92,1.31,0.46,91.04,9.59,Sunny,fluxtower1
2023-07-24,63.81,83.76,0,0.42,5.22,1.12,0.45,94.51,10.41,Sunny,fluxtower1
2023-07-23,57.7,82.23,0.06,0.42,8.73,1.14,0.44,91.53,10.16,Rain,fluxtower1
2023-07-22,54.24,80.82,0,0.43,5.97,1.38,0.48,86.16,11.19,Sunny,fluxtower1
2023-07-21,58.09,77.36,0,0.44,5.2,0.93,0.28,89.89,7.41,Sunny,fluxtower1
2023-07-20,69.61,86.8,0,0.44,8.99,1.18,0.46,97.82,11.2,Sunny,fluxtower1
2023-07-19,56.04,82.17,0,0.45,6.01,1.17,0.29,82.89,5.95,Sunny,fluxtower1
2023-07-18,60.61,77.19,0,0.46,5.05,1.02,0.29,88.72,8.56,Sunny,fluxtower1
2023-07-17,62.74,78.1,0,0.47,5.48,0.72,0.29,96.3,8.33,Sunny,fluxtower1
2023-07-16,60.13,81.39,0,0.48,6.77,0.86,0.38,96.42,9.58,Sunny,fluxtower1
2023-07-15,66.64,81.36,1.25,0.48,6.89,0.78,0.4,94.65,10.19,Rain,fluxtower1
2023-07-14,59.24,86.51,0,0.43,8.82,1.22,0.44,90.95,8.67,Sunny,fluxtower1
2023-07-13,63.74,78.61,0,0.44,3.15,0.63,0.32,92.62,8.86,Sunny,fluxtower1
2023-07-12,67.71,82.51,0.05,0.44,4.7,0.85,0.45,94.47,11,Rain,fluxtower1
2023-07-11,59.87,84,0,0.45,9.06,1.26,0.35,84.23,6.47,Sunny,fluxtower1
2023-07-10,54.67,80.55,0,0.46,8.88,1.26,0.4,94.89,10.29,Sunny,fluxtower1
2023-07-09,56.7,79.32,0,0.47,6.65,1.24,0.52,97.97,14.02,Sunny,fluxtower1
2023-07-08,63.08,74.24,0.43,0.45,3.28,0.48,0.17,95.25,5.94,Rain,fluxtower1
2023-07-07,57.55,80.05,0,0.4,5.51,1.32,0.42,86.9,10.5,Sunny,fluxtower1
2023-07-06,67.96,81.32,0.02,0.41,5.82,0.92,0.46,93.5,11.95,Rain,fluxtower1
2023-07-05,67.68,87.85,0.02,0.41,6.9,1.27,0.46,87,8.66,Rain,fluxtower1
2023-07-04,63.99,87.76,0,0.41,7.46,1.47,0.7,94.54,14,Sunny,fluxtower1
2023-07-03,63.8,84.36,0,0.41,6.85,1.51,0.39,77.77,6.72,Sunny,fluxtower1
2023-07-02,69.07,81.02,0.19,0.41,6.43,0.73,0.36,95.91,9.37,Rain,fluxtower1
2023-07-01,70.1,82.21,0.21,0.38,3.83,0.64,0.37,96.92,9.53,Rain,fluxtower1
2023-06-30,59.21,82.32,0,0.35,4.49,0.77,0.3,94.11,7.11,Sunny,fluxtower1
2023-06-29,63.48,83.37,0.4,0.34,-11.42,0.65,0.51,95.56,12.6,Rain,fluxtower1
2023-06-28,49.89,79.59,0,0.34,1.31,1.28,0.52,87.24,11.58,Sunny,fluxtower1
2023-06-27,61.18,76.27,0,0.35,1.6,0.97,0.31,81.03,7.91,Sunny,fluxtower1
2023-06-26,67.82,77.93,0,0.35,2.04,1.05,0.21,76.86,5.45,Sunny,fluxtower1
2023-06-25,68.42,90.27,0.02,0.35,5.3,1.97,0.98,83.86,19.36,Rain,fluxtower1
2023-06-24,56.73,88.57,0,0.35,3.79,2.34,0.67,69.09,9.74,Sunny,fluxtower1
2023-06-23,66.98,82.9,0,0.35,2.27,1.73,0.42,64.97,6.93,Sunny,fluxtower1
2023-06-22,60.61,81.66,0,0.35,1.83,1.63,0.43,69.27,7.89,Sunny,fluxtower1
2023-06-21,81.86,86.41,0,0.35,1.2,2.56,0.19,43.93,2.5,Sunny,fluxtower1
